"","MLS","sold_price","zipcode","longitude","latitude","lot_acres","taxes","year_built","bedrooms","bathrooms","sqrt_ft","garage","kitchen_features","fireplaces","floor_covering","HOA"
"1741","21701264","7e+05","85755","-110.979253","32.433783","0.51","6274.18","2001","4","3","3223","3","Dishwasher, Garbage Disposal, Microwave, Oven","1","Carpet, Ceramic Tile, Natural Stone","70"
"1742","21710146","680000","85755","-111.029867","32.460683","4.28","8211.89","2010","3","3","2984","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Ceramic Tile","0"
"1743","21121458","795000","85749","-110.791508","32.308684","1","9339","2006","4","4","3470","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Ceramic Tile, Wood","25"
"1744","21132373","689000","85737","-110.967454","32.40363","0.41","5245","2006","5","3","3410","3","Dishwasher, Garbage Disposal, Microwave, Oven","2","Carpet, Natural Stone","50"
"1745","21203359","630000","85718","-110.935842","32.315919","1.06","5101","1972","4","3","3703","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile, Other","0"
"1746","21125067","679000","85742","-111.015838","32.386588","3.3","7636","2006","5","4","4123","3","Garbage Disposal, Refrigerator, Microwave","1","Ceramic Tile, Wood","13"
"1747","21209852","715000","85718","-110.927945","32.304702","1.8","6777","1993","4","4","3654","2","Dishwasher, Refrigerator, Oven","3","Carpet, Ceramic Tile, Wood, Other","0"
"1748","21213827","685000","85750","-110.869332","32.323571","0.49","5865","1998","4","3","3191","3","Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Concrete, Natural Stone","36"
"1749","21310274","690000","85718","-110.909225","32.320175","0.22","4278","1986","3","3","2886","3","Dishwasher, Refrigerator","1","Ceramic Tile","323"
"1750","21324691","690000","85704","-110.981128","32.329011","1.05","3401.58","2011","5","4","4280","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Concrete","0"
"1751","21326439","680000","85755","-110.979714","32.457774","0.35","7014.88","2003","4","4","4014","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Ceramic Tile","80"
"1752","21627023","705000","85749","-110.72474","32.284574","3.75","6514.03","1998","4","4","4382","3","Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Ceramic Tile, Wood","2"
"1753","21711918","7e+05","85718","-110.952749","32.349215","8.27","5389","1970","2","3","2087","0","Dishwasher, Garbage Disposal, Refrigerator, Oven","1","Concrete","0"
"1754","21716189","680000","85755","-110.990761","32.429979","0.83","6492.2","2002","4","3","3384","3","Compactor, Dishwasher, Garbage Disposal","3","Carpet, Ceramic Tile","18"
"1755","21723858","690000","85742","-111.020258","32.420983","0.83","10920","2015","4","4","3453","3","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Butler, Appliance Color: Stainless, Countertops: Granite","1","Carpet, Ceramic Tile","75"
"1756","21714993","550000","85641","-110.695234","31.980799","32.45","4866.13","1997","5","3","3104","7","Dishwasher, Refrigerator","1","Carpet, Ceramic Tile","0"
"1757","21728833","685000","85718","-110.933262","32.338742","0.98","6783.19","1983","4","3","3267","2","Dishwasher, Double Sink, Electric Range, Indoor Grill, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Jenn Aire Built In, Oven: Built In","5","Carpet, Natural Stone, Wood","100"
"1758","21725265","7e+05","85716","-110.930758","32.229405","0.19","5700.97","1978","4","4","2879","2","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Lazy Susan, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Missing: Wine Room/Storage","1","Concrete, Wood","78.09"
